Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TITAN.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,920.2999877929688,749.25,392.3500061035156,136.74000549316406,4047.9228515625,3253.85009765625,922.5,751.0999755859375,394.20001220703125,138.4499969482422,4069.134524093068,3269.89990234375,911.0,736.0,389.29998779296875,136.5800018310547,4021.346260950125,3244.050048828125,913.0,740.4500122070312,392.5,138.10000610351562,4030.1557808587904,3248.0,641424,7792251,4404708,18169498,763161,357376.0
2025-01-02,929.6500244140625,765.0499877929688,395.5,138.17999267578125,4110.2294921875,3388.949951171875,931.25,767.3499755859375,397.0,138.4499969482422,4117.365734495675,3400.949951171875,913.0499877929688,749.3499755859375,387.1000061035156,136.39999389648438,4032.6661128651804,3251.0,921.0,759.2999877929688,392.0,137.0,4055.3542496108485,3264.0,1705632,15294572,11244310,23388424,1720835,1152493.0
2025-01-03,939.4500122070312,790.4000244140625,396.6499938964844,138.36000061035156,4035.5693359375,3451.64990234375,941.9000244140625,800.5999755859375,402.95001220703125,139.72999572753906,4114.36357856104,3481.949951171875,926.0,761.4500122070312,395.45001220703125,137.83999633789062,4028.088729938378,3377.949951171875,932.7000122070312,768.0,396.0,138.17999267578125,4114.36357856104,3395.0,1832664,24773025,8254584,23351832,1791953,1630862.0
2025-01-06,946.9000244140625,776.25,378.6499938964844,132.17999267578125,4030.746337890625,3470.39990234375,955.0,797.7000122070312,397.0,138.38999938964844,4084.538741733885,3528.5,929.0999755859375,765.2999877929688,377.0,131.35000610351562,4002.5949975020426,3441.199951171875,935.0,797.7000122070312,397.0,138.36000061035156,4041.081584910857,3490.0,2692614,16948151,11688108,44620509,2085593,2145936.0
2025-01-07,955.0,793.25,378.75,133.3800048828125,3965.093017578125,3505.10009765625,972.0,796.9500122070312,384.45001220703125,133.8800048828125,4075.3849175960827,3576.699951171875,949.75,772.5,377.54998779296875,132.00999450683594,3948.605837566856,3485.0,952.0,776.0,380.0,132.77999877929688,4050.3835586581686,3490.0,2413582,15547971,7289119,24239451,2669054,2389563.0
2025-01-08,961.5999755859375,794.9500122070312,374.04998779296875,132.63999938964844,4043.93603515625,3484.050048828125,963.8499755859375,797.0,380.45001220703125,134.24000549316406,4061.259974116957,3514.5,945.4500122070312,781.6500244140625,372.04998779296875,131.77000427246094,3954.708497578382,3391.300048828125,955.0,792.5999755859375,379.5,133.92999267578125,3971.5893051277485,3487.64990234375,1235226,11861066,8183207,31570331,2181277,1317377.0
2025-01-09,970.0999755859375,780.0999755859375,367.1499938964844,129.92999267578125,3975.4775390625,3487.050048828125,982.7999877929688,810.0,376.0,132.39999389648438,4072.8256284632957,3506.449951171875,954.5,769.4500122070312,366.0,129.6999969482422,3962.140100567154,3461.550048828125,957.4500122070312,800.0,374.04998779296875,132.0,4036.6522632657784,3485.949951171875,2130681,17948464,6423717,31903107,2392472,826237.0
2025-01-10,972.7999877929688,774.6500244140625,356.3500061035156,127.43000030517578,4198.71875,3440.25,980.0,787.9500122070312,368.5,130.38999938964844,4229.576941801279,3488.0,959.0,766.7999877929688,355.04998779296875,126.69999694824219,4104.569664256768,3428.75,965.2000122070312,780.0499877929688,367.1499938964844,129.92999267578125,4134.098942416888,3462.0,1443387,11144005,9579404,34855510,7894300,570060.0
